GDP,Family,Life Expectancy,Freedom,Trust,Score,Region
1.34,1.587,0.986,0.596,0.393,7.769,0.0
1.383,1.573,0.996,0.592,0.41,7.6,0.0
1.488,1.582,1.028,0.603,0.341,7.554,0.0
1.38,1.624,1.026,0.591,0.118,7.494,0.0
1.396,1.522,0.999,0.557,0.298,7.488,0.0
1.452,1.526,1.052,0.572,0.343,7.48,0.0
1.387,1.487,1.009,0.574,0.373,7.343,0.0
1.303,1.557,1.026,0.585,0.38,7.307,2.0
1.365,1.505,1.039,0.584,0.308,7.278,1.0
1.376,1.475,1.016,0.532,0.226,7.246,0.0
1.372,1.548,1.036,0.557,0.29,7.228,2.0
1.034,1.441,0.963,0.558,0.093,7.167,4.0
1.276,1.455,1.029,0.371,0.082,7.139,3.0
1.609,1.479,1.012,0.526,0.316,7.09,0.0
1.333,1.538,0.996,0.45,0.278,7.054,0.0
1.499,1.553,0.999,0.516,0.31,7.021,0.0
1.373,1.454,0.987,0.495,0.265,6.985,0.0
1.356,1.504,0.986,0.473,0.21,6.923,0.0
1.433,1.457,0.874,0.454,0.128,6.892,1.0
1.269,1.487,0.92,0.457,0.036,6.852,6.0
1.503,1.31,0.825,0.598,0.182,6.825,3.0
1.3,1.52,0.999,0.564,0.151,6.726,0.0
1.07,1.323,0.861,0.433,0.073,6.595,4.0
1.324,1.472,1.045,0.436,0.183,6.592,0.0
1.368,1.43,0.914,0.351,0.097,6.446,7.0
1.159,1.369,0.92,0.357,0.056,6.444,4.0
0.8,1.269,0.746,0.535,0.078,6.436,4.0
1.403,1.357,0.795,0.439,0.132,6.375,3.0
1.684,1.313,0.871,0.555,0.167,6.374,3.0
1.286,1.484,1.062,0.362,0.079,6.354,0.0
1.149,1.442,0.91,0.516,0.054,6.321,4.0
1.004,1.439,0.802,0.39,0.086,6.3,4.0
1.124,1.465,0.891,0.523,0.15,6.293,4.0
1.572,1.463,1.141,0.556,0.453,6.262,5.0
0.794,1.242,0.789,0.43,0.074,6.253,4.0
1.294,1.488,1.039,0.231,0.03,6.223,0.0
1.362,1.368,0.871,0.536,0.11,6.199,3.0
1.246,1.504,0.881,0.334,0.014,6.198,6.0
1.231,1.477,0.713,0.489,0.016,6.192,
1.206,1.438,0.884,0.483,0.05,6.182,6.0
0.745,1.529,0.756,0.631,0.24,6.174,6.0
1.238,1.515,0.818,0.291,0.042,6.149,6.0
0.985,1.41,0.841,0.47,0.034,6.125,4.0
1.258,1.523,0.953,0.564,0.057,6.118,6.0
0.694,1.325,0.835,0.435,0.127,6.105,4.0
0.882,1.232,0.758,0.489,0.006,6.1,6.0
1.092,1.432,0.881,0.471,0.05,6.086,4.0
1.162,1.232,0.825,0.462,0.005,6.07,6.0
1.263,1.223,1.042,0.406,0.041,6.046,0.0
0.912,1.312,0.868,0.498,0.087,6.028,4.0
1.5,1.319,0.808,0.493,0.097,6.021,3.0
1.05,1.409,0.828,0.557,0.028,6.008,5.0
1.187,1.465,0.812,0.264,0.064,5.94,6.0
1.301,1.219,1.036,0.159,0.056,5.895,7.0
