GDP,Family,Life Expectancy,Freedom,Trust,Score,Region
1.39651,1.34951,0.94143,0.66557,0.41978,7.587,0.0
1.30232,1.40223,0.94784,0.62877,0.14145,7.561,0.0
1.32548,1.36058,0.87464,0.64938,0.48357,7.527,0.0
1.459,1.33095,0.88521,0.66973,0.36503,7.522,0.0
1.32629,1.32261,0.90563,0.63297,0.32957,7.427,1.0
1.29025,1.31826,0.88911,0.64169,0.41372,7.406,0.0
1.32944,1.28017,0.89284,0.61576,0.31814,7.378,0.0
1.33171,1.28907,0.91087,0.6598,0.43844,7.364,0.0
1.25018,1.31967,0.90837,0.63938,0.42922,7.286,2.0
1.33358,1.30923,0.93156,0.65124,0.35637,7.284,2.0
1.22857,1.22393,0.91387,0.41319,0.07785,7.278,3.0
0.95578,1.23788,0.86027,0.63376,0.10583,7.226,4.0
1.33723,1.29704,0.89042,0.62433,0.18676,7.2,0.0
1.02054,0.91451,0.81444,0.48181,0.21312,7.187,4.0
1.39451,1.24711,0.86179,0.54604,0.1589,7.119,1.0
0.98124,1.23287,0.69702,0.49049,0.17521,6.983,4.0
1.56391,1.21963,0.91894,0.61583,0.37798,6.946,0.0
1.33596,1.36948,0.89533,0.61777,0.28703,6.94,0.0
1.30782,1.28566,0.89667,0.5845,0.2254,6.937,0.0
1.42727,1.12575,0.80925,0.64157,0.38583,6.901,3.0
1.26637,1.28548,0.90943,0.59625,0.32067,6.867,0.0
1.36011,1.08182,0.76276,0.63274,0.32524,6.853,3.0
1.04424,1.25596,0.72052,0.42908,0.11069,6.81,4.0
1.52186,1.02,1.02525,0.54252,0.4921,6.798,5.0
1.06353,1.1985,0.79661,0.5421,0.0927,6.786,4.0
1.32792,1.29937,0.89186,0.61477,0.21843,6.75,0.0
1.10715,1.12447,0.85857,0.44132,0.12869,6.67,4.0
1.69042,1.0786,0.79733,0.6404,0.52208,6.611,3.0
1.27778,1.26038,0.94579,0.55011,0.20646,6.575,0.0
1.05351,1.24823,0.78723,0.44974,0.08484,6.574,4.0
1.17898,1.20643,0.84483,0.46364,0.02652,6.505,6.0
1.06166,1.2089,0.8116,0.60362,0.24558,6.485,4.0
0.91861,1.24018,0.69077,0.53466,0.0512,6.477,4.0
0.9669,1.26504,0.7385,0.55664,0.03187,6.455,5.0
1.39541,1.08393,0.72025,0.31048,0.32524,6.411,3.0
1.23011,1.31379,0.95562,0.45951,0.06398,6.329,0.0
1.2074,1.30203,0.88721,0.60365,0.13586,6.302,0.0
1.29098,1.07617,0.8753,0.3974,0.08129,6.298,7.0
1.55422,1.16594,0.72492,0.55499,0.25609,6.295,3.0
0.99534,0.972,0.6082,0.59657,0.13633,6.269,4.0
1.21183,1.18354,0.61483,0.55884,0.0114,6.168,4.0
0.76454,1.02507,0.67737,0.4035,0.11776,6.13,4.0
0.74553,1.04356,0.64425,0.57733,0.09472,6.123,4.0
0.63244,1.34043,0.59772,0.65821,0.30826,6.003,6.0
1.16891,1.26999,0.78902,0.31751,0.03431,5.995,6.0
1.27074,1.25712,0.99111,0.49615,0.1806,5.987,7.0
1.24461,0.95774,0.96538,0.33208,0.07857,5.984,7.0
0.86402,0.99903,0.79075,0.48574,0.1809,5.975,4.0
1.32376,1.21624,0.74716,0.45492,0.306,5.96,3.0
1.25114,1.19777,0.95446,0.26236,0.02901,5.948,0.0
0.68133,0.97841,0.5392,0.57414,0.088,5.89,4.0
0.59448,1.01528,0.61826,0.32818,0.01615,5.889,6.0
0.75985,1.30477,0.66098,0.53899,0.08242,5.878,4.0
1.12254,1.12241,0.64368,0.51649,0.08454,5.855,6.0
1.18498,1.27385,0.87337,0.60855,0.03787,5.848,6.0
1.14723,1.25745,0.73128,0.21342,0.01031,5.833,6.0
0.59325,1.14184,0.74314,0.55475,0.19317,5.828,4.0
0.90019,0.97459,0.73017,0.41496,0.05989,5.824,4.0
1.03192,1.23289,0.73608,0.37938,0.1909,5.813,6.0
1.12555,1.27948,0.77903,0.53122,0.04212,5.791,6.0
1.12486,1.07023,0.72394,0.53024,0.10501,5.77,5.0
1.08254,0.79624,0.78805,0.25883,0.0243,5.759,6.0
1.13145,1.11862,0.7038,0.41668,0.11023,5.754,3.0
1.13764,1.23617,0.66926,0.36679,0.03005,5.716,6.0
0.81038,1.15102,0.68741,0.50442,0.02299,5.709,4.0
1.20806,1.07008,0.92356,0.49027,0.1428,5.695,0.0
1.20813,0.89318,0.92356,0.40672,0.06146,5.689,0.0
0.93929,1.07772,0.61766,0.28579,0.17383,5.605,3.0
0.80148,0.81198,0.63132,0.24749,0.04741,5.589,6.0
0.95847,1.22668,0.53886,0.4761,0.30844,5.548,6.0
1.00761,0.98521,0.7095,0.56066,0.07521,5.477,8.0
1.38604,1.05818,1.01328,0.59608,0.37124,5.474,7.0
1.15174,1.22791,0.77361,0.44888,0.15184,5.429,6.0
0.82827,1.08708,0.63793,0.46611,0.0,5.399,5.0
0.63216,0.91226,0.74676,0.59444,0.10441,5.36,5.0
1.06098,0.94632,0.73172,0.22815,0.15746,5.332,3.0
0.47428,1.15115,0.65088,0.43477,0.04232,5.286,6.0
0.65435,0.90432,0.16007,0.34334,0.0403,5.268,8.0
0.77042,1.10395,0.57407,0.53206,0.15445,5.253,9.0
1.02389,0.93793,0.64045,0.3703,0.16065,5.212,6.0
0.59543,0.41411,0.51466,0.12102,0.10464,5.194,9.0
0.90198,1.05392,0.69639,0.40661,0.14293,5.192,3.0
0.97438,0.90557,0.72521,0.1826,0.14296,5.192,6.0
0.89012,0.94675,0.81658,0.51697,0.02781,5.14,7.0
0.47038,0.91612,0.29924,0.48827,0.12468,5.129,8.0
1.04345,0.88588,0.7689,0.35068,0.00649,5.124,6.0
0.92053,1.00964,0.74836,0.20107,0.02617,5.123,6.0
1.15991,1.13935,0.87519,0.51469,0.01078,5.102,0.0
1.11312,1.09562,0.72437,0.29671,0.06332,5.098,6.0
0.70532,1.03516,0.58114,0.62545,0.12279,5.073,5.0
0.18847,0.95152,0.43873,0.46582,0.39928,5.057,8.0
0.73479,0.64095,0.60954,0.41691,0.08546,5.013,3.0
0.91851,1.00232,0.73545,0.33457,0.05327,5.007,6.0
0.08308,1.02626,0.09131,0.34037,0.15603,4.971,8.0
0.87867,0.80434,0.81325,0.35733,0.06413,4.959,6.0
0.83223,0.91916,0.79081,0.09245,0.00227,4.949,6.0
0.37545,1.04103,0.07612,0.31767,0.12504,4.898,8.0
0.89537,1.17202,0.66825,0.57672,0.14234,4.885,4.0
