GDP,Family,Life Expectancy,Freedom,Trust,Score,2015,2016,2017,2018,2019,Western Europe,North America,Australia and New Zealand,Middle East and Northern Africa,Latin America and Caribbean,Southeastern Asia,Central and Eastern Europe,Eastern Asia,Sub-Saharan Africa,Southern Asia
1.39651,1.34951,0.94143,0.66557,0.41978,7.587,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.30232,1.40223,0.94784,0.62877,0.14145,7.561,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.32548,1.36058,0.87464,0.64938,0.48357,7.527,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.459,1.33095,0.88521,0.66973,0.36503,7.522,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.32629,1.32261,0.90563,0.63297,0.32957,7.427,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.29025,1.31826,0.88911,0.64169,0.41372,7.406,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.32944,1.28017,0.89284,0.61576,0.31814,7.378,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.33171,1.28907,0.91087,0.6598,0.43844,7.364,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.25018,1.31967,0.90837,0.63938,0.42922,7.286,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.33358,1.30923,0.93156,0.65124,0.35637,7.284,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.22857,1.22393,0.91387,0.41319,0.07785,7.278,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.95578,1.23788,0.86027,0.63376,0.10583,7.226,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.33723,1.29704,0.89042,0.62433,0.18676,7.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.02054,0.91451,0.81444,0.48181,0.21312,7.187,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.39451,1.24711,0.86179,0.54604,0.1589,7.119,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.98124,1.23287,0.69702,0.49049,0.17521,6.983,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.56391,1.21963,0.91894,0.61583,0.37798,6.946,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.33596,1.36948,0.89533,0.61777,0.28703,6.94,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.30782,1.28566,0.89667,0.5845,0.2254,6.937,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.42727,1.12575,0.80925,0.64157,0.38583,6.901,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.26637,1.28548,0.90943,0.59625,0.32067,6.867,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.36011,1.08182,0.76276,0.63274,0.32524,6.853,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.04424,1.25596,0.72052,0.42908,0.11069,6.81,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.52186,1.02,1.02525,0.54252,0.4921,6.798,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.06353,1.1985,0.79661,0.5421,0.0927,6.786,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
